knn,blocks,imbalance,kahip_mode,layers,nodes,epochs,batch_size,T,build_time_with_ivfflat,build_time_without_ivfflat,search_time_with_true,search_time_without_true,true_compute_time,recall,avg_AF,QPS,tApprox
1,2000,0.1,0,3,256,3,1024,2,,71.53741032599646,169.89678321799875,21.848791076998168,147.33419574800064,0.1169,1.19455643,584.57412208,0.00171065
1,2000,0.1,0,3,256,3,1024,50,,71.53741032599646,295.0661520270005,149.21460313400166,144.62622861000273,0.8323,1.01849719,69.20418147,0.01444999
1,2000,0.1,0,3,256,3,1024,90,,71.53741032599646,342.47889491200476,194.4187436659995,146.76094292299967,0.9476,1.00537049,52.73433891,0.01896298
1,2000,0.1,0,3,256,3,1024,100,,71.53741032599646,354.12989359300263,205.14480387500225,146.87403251100477,0.96,1.00376751,49.92187542,0.0200313
1,2000,0.15,0,3,256,3,1024,2,,72.01319961599802,167.3677320439965,23.128585455000575,143.36853247399995,0.1298,1.18982362,546.40836617,0.00183013
1,2000,0.15,0,3,256,3,1024,50,,72.01319961599802,299.1134009519956,152.1259632069996,146.78795989000355,0.8504,1.01838862,67.87821658,0.01473227
1,2000,0.15,0,3,256,3,1024,90,,72.01319961599802,343.92919839800015,196.46668849800335,147.33880233799573,0.9576,1.00373793,52.17019727,0.01916803
1,2000,0.15,0,3,256,3,1024,100,,72.01319961599802,354.9350579919992,206.1977913169976,146.97447876299702,0.9675,1.00285933,49.63779125,0.02014594
1,2000,0.1,0,3,256,3,1024,2,,72.86176100199373,166.31575319499825,21.346280221994675,144.3792510130006,0.1124,1.19806626,604.61764033,0.00165394
1,2000,0.1,0,3,256,3,1024,50,,72.86176100199373,296.8729813980026,145.00821133600402,143.4206818120001,0.8391,1.01874636,71.25094865,0.0140349
1,2000,0.1,0,3,256,3,1024,90,,72.86176100199373,339.5051620189988,193.9764174869997,143.60121753599378,0.9526,1.00626822,52.88950515,0.01890734
1,2000,0.1,0,3,256,3,1024,100,,72.86176100199373,346.35413902200526,204.4819719369989,140.85908166800073,0.9635,1.00467313,50.05933039,0.0199763
1,2000,0.1,1,3,256,3,1024,2,,71.23076119799953,169.72536102400045,24.085321243997896,145.2742336299998,0.1417,1.17963569,516.76093708,0.00193513
1,2000,0.1,1,3,256,3,1024,50,,71.23076119799953,294.6535764240034,154.30388824300462,141.60015941400343,0.8549,1.0194425,66.96864125,0.01493236
1,2000,0.1,1,3,256,3,1024,90,,71.23076119799953,344.2998706549988,198.37039659300353,145.99704247999762,0.9566,1.0052422,51.68197822,0.0193491
1,2000,0.1,1,3,256,3,1024,100,,71.23076119799953,355.2308480580032,209.34301546499773,146.5733778089998,0.9681,1.00368225,48.89459551,0.02045216
1,2000,0.1,0,2,256,3,1024,2,,63.76190961099928,170.73237869500008,25.05693064800289,145.73843920699437,0.1374,1.1846537,497.8944291,0.00200846
1,2000,0.1,0,2,256,3,1024,50,,63.76190961099928,300.38717184199777,156.12572920200182,144.3094784970017,0.8381,1.01938182,66.13735585,0.01512005
1,2000,0.1,0,2,256,3,1024,90,,63.76190961099928,349.34034846899885,200.62829988200247,149.08049929400295,0.9481,1.0066136,51.0899636,0.01957332
1,2000,0.1,0,2,256,3,1024,100,,63.76190961099928,360.7491520190015,212.6701534169988,148.8699385,0.959,1.00552367,48.1537914,0.0207668
1,2000,0.1,0,3,256,3,1024,2,,73.55240833700373,174.70178500700422,22.14241579100053,152.06859556200652,0.118,1.19463301,580.29524267,0.00172326
1,2000,0.1,0,3,256,3,1024,50,,73.55240833700373,299.18139726200025,154.06287856300332,144.02948621100222,0.8342,1.01853335,67.04082636,0.01491628
1,2000,0.1,0,3,256,3,1024,90,,73.55240833700373,351.39425084800314,201.5970169600041,149.7263875339995,0.9497,1.00499726,50.84823459,0.01966637
