knn,blocks,imbalance,kahip_mode,layers,nodes,epochs,batch_size,T,build_time_with_ivfflat,build_time_without_ivfflat,search_time_with_true,search_time_without_true,true_compute_time,recall,avg_AF,QPS,tApprox
1,2000,0.03,0,3,256,3,256,250,301.4040629090159,161.76744565501576,65.77345853595762,51.213970398006495,16.957275895983912,0.9998,1.00000205,206.3751746,0.00484554
1,2000,0.1,0,3,256,3,256,2,296.7650631229626,147.63526805996662,30.55004599201493,13.822832313016988,16.85784514498664,0.3255,1.09976055,932.2915269,0.00107263
1,2000,0.1,0,3,256,3,256,20,296.7650631229626,147.63526805996662,53.320970355009194,33.63412440603133,18.25736995501211,0.8553,1.01226748,324.02334009,0.0030862
1,2000,0.1,0,3,256,3,256,50,296.7650631229626,147.63526805996662,67.16383228899213,41.28134285402484,21.427640570967924,0.9726,1.00226703,259.51590872,0.00385333
1,2000,0.1,0,3,256,3,256,100,296.7650631229626,147.63526805996662,67.43291677598609,44.01978132099612,19.947347453038674,0.9969,1.00028553,242.91607041,0.00411665
1,2000,0.1,0,3,256,3,256,250,296.7650631229626,147.63526805996662,70.19367596000666,48.23526601801859,18.787844149046578,1.0,1.0,220.51150045,0.00453491
1,2000,0.15,0,3,256,3,256,2,273.3896496859961,154.04821790999267,30.42474859196227,13.89463680901099,16.492662076023407,0.3423,1.0951175,933.28138345,0.00107149
1,2000,0.15,0,3,256,3,256,20,273.3896496859961,154.04821790999267,53.812124048999976,34.94481428898871,18.015564338013064,0.8617,1.01132707,311.96117103,0.00320553
1,2000,0.15,0,3,256,3,256,50,273.3896496859961,154.04821790999267,64.34572441299679,41.82108044298366,18.995083308022004,0.978,1.00195054,256.55466487,0.0038978
1,2000,0.15,0,3,256,3,256,100,273.3896496859961,154.04821790999267,65.87816746701719,44.455390885006636,17.678941674006637,0.9982,1.00010466,239.46547286,0.00417597
1,2000,0.15,0,3,256,3,256,250,273.3896496859961,154.04821790999267,81.92717611498665,55.202519193000626,22.013730916019995,1.0,1.0,192.10926258,0.00520537
1,2000,0.1,0,3,256,3,256,2,305.5722716129967,160.26659528899472,32.53014946001349,13.670279546000529,18.901008849032223,0.3397,1.09444637,965.53554643,0.00103569
1,2000,0.1,0,3,256,3,256,20,305.5722716129967,160.26659528899472,52.092599828960374,39.368832067993935,16.614421507983934,0.8684,1.01055784,277.10706978,0.00360871
1,2000,0.1,0,3,256,3,256,50,305.5722716129967,160.26659528899472,59.47720736998599,45.041772830998525,17.521080899983644,0.98,1.00155278,237.98672431,0.00420192
1,2000,0.1,0,3,256,3,256,100,305.5722716129967,160.26659528899472,64.55945527803851,46.92013569897972,19.055148504965473,0.9983,1.00009342,226.7266177,0.0044106
1,2000,0.1,0,3,256,3,256,250,305.5722716129967,160.26659528899472,67.66391147201648,49.59267743601231,18.831358664960135,1.0,1.0,213.75191949,0.00467832
1,2000,0.1,1,3,256,3,256,2,278.25381114997435,150.49991529004183,31.8735701420228,12.77205100998981,18.67645590903703,0.3128,1.10346676,1028.05504318,0.00097271
1,2000,0.1,1,3,256,3,256,20,278.25381114997435,150.49991529004183,51.316216716950294,34.0527960479958,17.261707706027664,0.8461,1.01324649,321.06200401,0.00311466
1,2000,0.1,1,3,256,3,256,50,278.25381114997435,150.49991529004183,59.26265205902746,42.06221576902317,17.746240655018482,0.9694,1.00219373,256.86409057,0.00389311
1,2000,0.1,1,3,256,3,256,100,278.25381114997435,150.49991529004183,63.67477225000039,44.33339679398341,18.585606709006242,0.9964,1.00033997,240.68676146,0.00415478
1,2000,0.1,1,3,256,3,256,250,278.25381114997435,150.49991529004183,66.27515015302924,48.64946044899989,18.46851489599794,0.9997,1.00004351,218.81087702,0.00457016
1,2000,0.1,0,3,256,3,256,2,284.05734971299535,152.99865823501023,32.12303574802354,13.723052070010453,18.35940081998706,0.2945,1.10832651,977.52608546,0.00102299
1,2000,0.1,0,3,256,3,256,20,284.05734971299535,152.99865823501023,55.834323060989846,36.56303407001542,18.099203235004097,0.8361,1.0137606,302.64737154,0.00330418
1,2000,0.1,0,3,256,3,256,50,284.05734971299535,152.99865823501023,65.25245822803117,45.11442356201587,18.350844781962223,0.9696,1.00249703,238.94699229,0.00418503
1,2000,0.1,0,3,256,3,256,100,284.05734971299535,152.99865823501023,67.54742756899213,45.814770110009704,17.8933565869811,0.9956,1.00031339,233.34051943,0.00428558
1,2000,0.1,0,3,256,3,256,250,284.05734971299535,152.99865823501023,67.84222954500001,50.96447082498344,18.281412885989994,0.9998,1.00002477,209.48528549,0.0047736
1,2000,0.1,0,5,256,3,256,2,431.16126906801946,335.3797735039843,33.225237952021416,16.580382995016407,17.789835798961576,0.3785,1.08499659,749.55957487,0.00133412
1,2000,0.1,0,5,256,3,256,20,431.16126906801946,335.3797735039843,60.36346719501307,41.32644210901344,17.693042025028262,0.9018,1.00776864,260.23846723,0.00384263
1,2000,0.1,0,5,256,3,256,50,431.16126906801946,335.3797735039843,68.79763321898645,48.93088423402514,18.02187239698833,0.9888,1.00081878,218.20208756,0.00458291
1,2000,0.1,0,5,256,3,256,100,431.16126906801946,335.3797735039843,70.32677721598884,53.338818448013626,18.321096898056567,0.9984,1.00011658,198.74005922,0.0050317
1,2000,0.1,0,5,256,3,256,250,431.16126906801946,335.3797735039843,73.16376732604112,55.98093420400983,18.163685033970978,1.0,1.0,188.55909595,0.00530338
1,2000,0.1,0,6,256,3,256,2,558.9849627859658,438.431195037032,30.783868013997562,13.13391956302803,17.807884475041647,0.0009,1.91552192,1002.39319546,0.00099761
1,2000,0.1,0,6,256,3,256,20,558.9849627859658,438.431195037032,31.124780865968205,12.795027411018964,18.361965835036244,0.01,1.49076414,1046.69040283,0.00095539
1,2000,0.1,0,6,256,3,256,50,558.9849627859658,438.431195037032,32.15942476101918,14.464241824985947,18.29257241002051,0.026,1.36355105,889.84884201,0.00112379
1,2000,0.1,0,6,256,3,256,100,558.9849627859658,438.431195037032,32.72776993497973,15.731336133030709,17.330523207027,0.0501,1.28579287,790.23911878,0.00126544
1,2000,0.1,0,6,256,3,256,250,558.9849627859658,438.431195037032,40.551252441015095,22.005899965995923,18.08045301702805,0.1308,1.18299595,533.33691348,0.00187499
1,2000,0.1,0,3,128,3,256,2,278.39380316803,153.0736648690072,29.812218479986768,13.138863006024621,17.091523620998487,0.3711,1.08511585,990.2935079,0.0010098
1,2000,0.1,0,3,128,3,256,20,278.39380316803,153.0736648690072,56.06218509300379,37.45551245298702,16.407946300983895,0.8922,1.00860235,293.13834236,0.00341136
1,2000,0.1,0,3,128,3,256,50,278.39380316803,153.0736648690072,60.81675711402204,44.07535798801109,16.864525652024895,0.9838,1.00118819,242.83663434,0.00411799
1,2000,0.1,0,3,128,3,256,100,278.39380316803,153.0736648690072,66.09525578696048,45.59602931694826,16.691568317008205,0.9982,1.00015432,237.85715302,0.0042042
1,2000,0.1,0,3,128,3,256,250,278.39380316803,153.0736648690072,68.19724727299763,49.108111687994096,17.974352672987152,1.0,1.0,217.01252867,0.00460803
1,2000,0.1,0,3,256,3,256,2,306.9133452749811,159.06062925199512,36.029465845029335,14.15387150098104,21.2066472810111,0.3354,1.09713963,943.79966646,0.00105955
1,2000,0.1,0,3,256,3,256,20,306.9133452749811,159.06062925199512,54.3857239310164,35.18881786899874,18.96336502302438,0.8578,1.01179161,310.7752076,0.00321776
1,2000,0.1,0,3,256,3,256,50,306.9133452749811,159.06062925199512,65.55514782399405,42.39866423298372,20.75076943001477,0.9772,1.00187179,254.44138257,0.00393018
1,2000,0.1,0,3,256,3,256,100,306.9133452749811,159.06062925199512,64.10764444898814,44.76213802403072,17.547239594045095,0.9975,1.00023153,238.86761087,0.00418642
1,2000,0.1,0,3,256,3,256,250,306.9133452749811,159.06062925199512,66.36897127801785,48.72547958698124,17.993840816954616,1.0,1.0,217.36317616,0.0046006
1,2000,0.1,0,3,521,3,256,2,283.24122938804794,150.87164997501532,30.243471756984945,12.806908452010248,17.403584118990693,0.3534,1.09106787,1027.09591273,0.00097362
1,2000,0.1,0,3,521,3,256,20,283.24122938804794,150.87164997501532,51.86436872003833,36.45456646004459,17.53578794503119,0.8866,1.00885959,299.21776752,0.00334205
1,2000,0.1,0,3,521,3,256,50,283.24122938804794,150.87164997501532,59.77050255902577,40.49776668997947,18.00511936098337,0.9843,1.00108237,265.68419207,0.00376387
